
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:4200         127.0.0.1:55303        ESTABLISHED
  TCP    127.0.0.1:4200         127.0.0.1:55304        ESTABLISHED
  TCP    127.0.0.1:4200         127.0.0.1:55314        ESTABLISHED
  TCP    127.0.0.1:4444         127.0.0.1:55168        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55193        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55194        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55195        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55196        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55202        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55205        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55206        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55207        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55208        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55220        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55230        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55245        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55246        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55247        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55248        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55254        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55256        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55257        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55275        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55278        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55306        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55307        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55308        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55309        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55315        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55316        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55317        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55318        TIME_WAIT
  TCP    127.0.0.1:4444         127.0.0.1:55319        ESTABLISHED
  TCP    127.0.0.1:54103        127.0.0.1:54104        ESTABLISHED
  TCP    127.0.0.1:54104        127.0.0.1:54103        ESTABLISHED
  TCP    127.0.0.1:54109        127.0.0.1:54110        ESTABLISHED
  TCP    127.0.0.1:54110        127.0.0.1:54109        ESTABLISHED
  TCP    127.0.0.1:54388        127.0.0.1:54389        ESTABLISHED
  TCP    127.0.0.1:54389        127.0.0.1:54388        ESTABLISHED
  TCP    127.0.0.1:54395        127.0.0.1:54396        ESTABLISHED
  TCP    127.0.0.1:54396        127.0.0.1:54395        ESTABLISHED
  TCP    127.0.0.1:54515        127.0.0.1:4200         ESTABLISHED
